year,version,area_ha
2016,collection_10_1,2.315739038085937
2017,collection_10_1,188.05934471435543
2017,0-4-11-amz-3,246.12491456298784
2017,0-4-11-c25-4,246.12491456298784
2017,0-4-13-w3y-4,247.01529075317336
2017,0-4,221.63398833007795
2017,0-4-10-agr-2,246.12491456298784
2017,0-4-12-spt-4,247.01529075317336
2018,0-4-12-spt-4,313.619920483398
2018,collection_10_1,293.321694641113
2018,0-4-11-c25-4,311.30437235107377
2018,0-4-13-w3y-4,313.619920483398
2018,0-4,281.6472511657715
2018,0-4-10-agr-2,311.30437235107377
2018,0-4-11-amz-3,311.30437235107377
2019,0-4-12-spt-4,319.6750166259764
2019,0-4,286.63351521606444
2019,0-4-10-agr-2,317.35971410522427
2019,0-4-11-c25-4,317.35971410522427
2019,0-4-13-w3y-4,319.6750166259764
2019,collection_10_1,303.3818581848141
2019,0-4-11-amz-3,317.35971410522427
2020,0-4-12-spt-4,324.74883803710907
2020,0-4-11-c25-4,322.2550724853512
2020,0-4,291.26278602294906
2020,0-4-10-agr-2,322.2550724853512
2020,0-4-13-w3y-4,324.74883803710907
2020,collection_10_1,311.8412744018551
2020,0-4-11-amz-3,322.2550724853512
2021,0-4-11-amz-3,337.1199902160634
2021,0-4-10-agr-2,337.1199902160634
2021,0-4-13-w3y-4,341.21694566039963
2021,0-4-12-spt-4,341.2169456603997
2021,0-4,301.9413268310539
2021,collection_10_1,391.4420705871572
2021,0-4-11-c25-4,337.1199902160634
2022,collection_10_1,912.473123522948
2022,0-4-10-agr-2,910.1525410583488
2022,0-4-11-c25-4,910.1525410583488
2022,0-4-13-w3y-4,913.8037720581052
2022,0-4,873.8166077331547
2022,0-4-11-amz-3,910.1525410583488
2022,0-4-12-spt-4,913.8037720581052
2023,0-4-10-agr-2,2129.230986145028
2023,0-4-13-w3y-4,2143.65292545167
2023,0-4-11-c25-4,2129.230986145028
2023,0-4,2062.1927895385797
2023,0-4-11-amz-3,2129.230986145028
2023,0-4-12-spt-4,2143.65292545167
2023,collection_10_1,1583.3783856079044
2024,0-4-13-w3y-4,3675.5729141845695
2024,0-4-11-amz-3,3656.700973742676
2024,0-4,3566.9639591796904
2024,0-4-12-spt-4,3675.5729141845695
2024,0-4-10-agr-2,3656.700973742676
2024,collection_10_1,3552.4868108459555
2024,0-4-11-c25-4,3656.700973742675
2025,0-4-10-agr-2,4329.7631730590765
2025,0-4-12-spt-4,4350.23625353393
2025,0-4-11-c25-4,4329.763173059077
2025,0-4,4227.831990960691
2025,0-4-11-amz-3,4329.7631730590765
2025,0-4-13-w3y-4,4350.236253533929
