Brasil,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,
1. Forest,_(* 620533523_),_(* 617142018_),_(* 613057826_),_(* 608667531_),_(* 604715949_),_(* 601549094_),_(* 598131975_),_(* 594290697_),_(* 590556608_),_(* 586126677_),_(* 581463553_),_(* 577663202_),_(* 574104105_),_(* 570549843_),_(* 567174687_),_(* 564559300_),_(* 561220027_),_(* 557724732_),_(* 553260861_),_(* 548916001_),_(* 545750363_),_(* 543328343_),_(* 541523179_),_(* 539495168_),_(* 538120325_),_(* 537057539_),_(* 535974359_),_(* 534420296_),_(* 532644551_),_(* 531072026_),_(* 529425753_),_(* 527898492_),_(* 526638842_),_(* 525346565_),_(* 523188322_),_(* 520927330_),_(* 518241835_),_(* 514776102_),_(* 511242106_),_(* 509081748_),_(* 505743963_),
1.1. Forest Formation,424490712.2610724,423112873.93423516,420515553.95898288,418002513.6093421,416045643.73601907,414586014.0849269,412942302.84776574,410995781.74148351,409165983.69229877,406905961.09717947,404059365.21620369,401603872.86278719,399102771.65586549,396815763.0010339,394461669.7094785,392585814.7393533,390455904.02235323,388125593.41603994,384963242.77919793,382085125.04479778,379830114.07568365,378191549.84926778,377005979.33468086,375766572.08950531,375017649.66867352,374727971.05754763,374256602.96880436,373960203.3948527,373425932.67886978,372866445.23625231,372140798.87239903,371374323.40175736,370721701.25169343,370029001.79662645,368616941.0564549,367175641.18435401,365338006.44014019,363447759.95517004,361657903.62363577,360444364.46770585,359441149.13701397,
1.2. Savanna Formation,152780269.7608273,151584594.35616034,150048429.61664161,148032449.74101123,146240396.36185655,145172740.68455496,143220900.19516188,141612783.78817478,139775151.86601368,137966990.41430089,135906335.7379896,134876868.9516302,133855120.63945395,133192321.84194867,132287385.42599531,131383692.35895446,130424023.29831463,129099717.86858046,127785803.67275558,126501063.74992245,125729676.56735376,124680273.34650202,124196917.38762286,123377930.54390086,123084315.55436428,122235656.98817644,121104801.75025238,120448705.88780275,119046205.88184825,117825726.059332,117218208.94515851,116496960.94537321,115933180.33380526,115120621.36264367,114669255.08642948,113930412.13077162,113120511.13643496,111633489.46159643,109866052.99437433,109096641.8102411,106751048.88053593,
1.3. Flooded Savanna,1097235.1852997474,484843.4600383651,704269.73567383166,1024956.5518922398,1083875.4134746788,501776.1185407585,781081.24072362937,603188.04240160494,677154.71082102112,414714.5250638607,804937.72333530919,680982.46123185824,766102.83252294501,316611.29172338708,432380.26788453292,380049.65144172899,144418.02117398722,349492.59153932706,401381.36998567893,272818.93079198193,150982.91730982551,450367.37400944717,329154.00577940029,406028.63612802501,132944.46278281219,194290.23459783907,693826.5090243984,116153.28678894043,264096.50609485328,488955.09221341938,191207.09402570207,184739.21051140284,184878.49159428786,404177.64835594094,143005.27290812985,58543.853901934774,68930.755537115561,103263.92746156605,222514.96731173719,43786.352384387021,174266.54173482704,
1.4. Mangrove,997674.63311357121,998425.36610373447,995894.72628705401,998438.94452723255,1002295.1932238536,1007358.1109698924,1009368.6969120211,1009256.8200955807,1008640.0853594225,1010442.3046880381,1014620.566172779,1017114.3402720536,1016742.8501127359,1010528.5538741553,1006149.4241657283,1016380.5533300517,1018108.4754858373,1020328.59521071,1021253.5813757833,1023237.0261359996,1022632.2547708469,1022171.7734459259,1021615.0002783621,1022044.3564421054,1024879.9701678697,1025522.193727185,1028242.5624027442,1028684.8624456029,1030519.7487960932,1033684.9110158632,1030270.1504052914,1026186.9234716757,1024216.1781592482,1024745.9340435975,1028632.9136535773,1026944.9068605289,1033733.7689590682,1030910.8515572504,1038951.3424707021,1041042.4063618686,1043628.9534560528,
1.5. Floodable Forest,40594305.258373454,40391781.371641457,40230870.914921775,40049057.157876872,39787196.387894496,39725084.913715951,39623724.80894389,39519699.517638355,39379744.106186159,39280977.115361065,39133540.738567524,38942684.628193952,38825319.315700211,38679088.881687246,38452501.489211343,38658789.845966995,38643892.333232887,38596506.580039859,38556582.634741515,38501560.814187914,38484744.835539594,38450884.472111441,38433967.41811008,38386114.293125436,38323736.649417438,38336585.554288737,38350866.955577575,38326069.153180227,38337359.581652015,38317689.119859472,38305705.66606319,38277623.239916205,38238261.132977389,38232088.880734608,38194515.63493304,38200619.605408654,38146870.640197173,38028409.845596477,37926011.805354096,37925283.672977954,37803857.519109212,
1.6. Wooded Sandbank Vegetation,573326.25310945895,569499.81470661447,562807.37205832126,560115.02983981557,556542.33665524411,556120.74820551078,554598.14500969392,549987.66866555496,549934.00823246804,547592.44842241961,544753.81736297056,541678.92201380816,538048.54510902939,535529.93262761761,534601.01802403573,534573.33129213483,533680.92373190657,533093.93861381651,532597.45242156601,532196.28451361763,532212.4146044068,533096.84302106383,535546.80589792179,536478.11009368685,536798.95649205847,537513.42963200412,540018.31964179513,540480.26594273455,540437.26914303412,539526.14066003822,539562.98906590871,538659.02231668914,536604.64855496737,535929.94324040518,535972.25837130833,535169.29832799616,533782.35868211044,532268.76187957171,530672.17527438281,530630.15681535762,530012.9393460725,
2. Herbaceous and Shrubby Vegetation,_(* 55313130_),_(* 55816118_),_(* 54721720_),_(* 52615815_),_(* 52747852_),_(* 53488169_),_(* 51877779_),_(* 52036283_),_(* 51756585_),_(* 52863835_),_(* 51623283_),_(* 51831199_),_(* 51392019_),_(* 51796948_),_(* 51029828_),_(* 51977699_),_(* 52566892_),_(* 51979983_),_(* 52213887_),_(* 52197883_),_(* 51826169_),_(* 50813617_),_(* 50510721_),_(* 50559829_),_(* 51028040_),_(* 50653698_),_(* 49368972_),_(* 50397318_),_(* 50159510_),_(* 49157003_),_(* 49792431_),_(* 49517768_),_(* 49190913_),_(* 48054861_),_(* 48721502_),_(* 48901522_),_(* 48224312_),_(* 46973967_),_(* 46813929_),_(* 47109560_),_(* 45916553_),
2.1. Wetland,21879089.35380194,21334554.363619294,21568047.036183171,20816651.017873291,21281007.888082881,20106359.634223875,20221238.583362516,20097215.894985739,19761824.643394254,19389754.210454136,20360492.592100948,19930061.923002962,20425815.48180363,18830686.742250644,19180089.269708868,20327608.168384865,19337358.180994354,20276056.190449495,20524733.306919955,20149348.857638538,19646527.156124592,20589876.504965201,20454305.393956989,20688047.276074521,19142178.961321522,19887183.802829634,19297409.838388599,18668036.182810597,19573684.700894579,20259953.767975636,19862637.371877797,20179671.314682901,19791269.641751945,20732324.271246262,19485460.860331826,18509528.486926954,18353450.842288811,18037197.951236688,19606621.452812802,18118063.782209445,18654755.989327438,
2.2. Marisma,7648.299643982019,7614.6135726075272,7321.3498132325731,7332.7636038574938,7318.4022338563145,7310.2324076966634,7325.4103732056728,7305.6275553407077,7392.5386183839291,7325.3889882691574,7198.8064740540085,7348.9439891297516,7327.9202619874068,7439.1489885803176,7486.8439392762375,7803.3464480896428,7567.8007108398606,7488.7106188171783,7558.1507740601146,7647.9879551209569,7637.4520766968481,7517.7424400817899,7572.2738855407852,7685.7804273865904,7430.965848700087,7393.6602496217592,7375.1356284120175,7333.9712653199695,7345.9912081544289,7316.1190340150606,7187.9532850952946,6945.1931741273247,6940.0200184998839,6869.4715835633624,6761.2877233032823,6679.1006706116068,6703.3764799744386,6830.4130988038669,6956.1837642945329,6864.3672709657312,6973.6380681946139,
2.3. Grassland Formation,30430090.167579483,31468248.063424598,30129980.531807765,28776286.986921649,28444593.528885141,30364514.179892879,28635067.365389332,28908566.842960242,28958778.625686575,30436510.382535882,28227575.191170163,28864332.63228577,27922274.594355129,29911913.277106829,28797491.293273579,28596040.431143709,30165449.013905875,28631659.274497617,28620640.771301448,28953953.578513194,29083673.464542169,27125162.770518646,26964591.315158717,26778288.405084964,28793246.87660462,27681943.274955083,26997206.185829721,28648615.175560784,27508812.658325471,25835572.253516678,26861639.768510107,26259182.328400645,26312731.881590314,24223954.769614007,26115923.301721156,27252282.875091847,26735676.267465059,25790332.240853921,24058332.88307628,25837457.931961462,24067018.886613902,
2.4. Herbaceous-Shrub Mosaic,370790.99615080486,390648.42436464463,410311.29106428905,418977.89860608289,426261.51772833115,426762.21145084401,430635.09334262222,438509.04822081601,440730.89480900869,443041.42859639745,446973.17338015413,450622.65493651445,457200.70839307451,464338.15864998929,457565.7759398385,454166.30599273322,461241.0063156049,470334.23972179438,467458.66871253692,484727.7601249601,482360.29121014912,485829.89155901893,480714.55084004148,483314.25235383498,484919.59227977006,482747.18696331111,478499.19753281481,487939.90292570705,484980.67632679461,466176.89246984827,473776.56366071018,487050.10591447051,499426.94239228172,515181.19138471002,542645.44910594495,566418.40058834036,564619.64411591273,580145.22236625117,588020.31784783187,596135.12516325538,629110.73819519207,
