CERRADO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,
1. Forest,_(* 132922893_),_(* 129761859_),_(* 127990183_),_(* 126001680_),_(* 124153003_),_(* 122549127_),_(* 121063838_),_(* 119520401_),_(* 118029798_),_(* 115924211_),_(* 114156620_),_(* 112826825_),_(* 111615894_),_(* 110539622_),_(* 109501831_),_(* 108413282_),_(* 107173671_),_(* 106003315_),_(* 104582196_),_(* 103113232_),_(* 102034363_),_(* 101274214_),_(* 100679648_),_(* 100005392_),_(* 99417160_),_(* 98799105_),_(* 98249980_),_(* 97402289_),_(* 96498158_),_(* 95706864_),_(* 95012006_),_(* 94458386_),_(* 93958034_),_(* 93457151_),_(* 92761897_),_(* 91863080_),_(* 91143496_),_(* 90042429_),_(* 88769392_),_(* 88076398_),_(* 86197778_),
1.1. Forest Formation,50802250.464662775,49601462.285696052,48678109.396725178,47730067.962743416,47044910.406659432,46585896.744277321,46208439.743670009,45893048.244923055,45572311.754600532,45047644.359674744,44501961.018603645,44027019.891901426,43432113.043798119,43049456.78369385,42655513.178299621,42368791.938677341,42024078.12138781,41686343.11452999,41281672.647091858,40907019.146798231,40600107.579526596,40406170.589992046,40312007.21000839,40193919.815031692,40070775.4164318,40147261.734247886,40084717.457792655,40131931.981473297,40125667.945630744,40102315.901445061,40074707.722533405,40071497.721501999,40040975.655998304,40022399.058543026,39850762.910474017,39626337.529888779,39424318.822737344,39182537.577347249,38829854.62535812,38473557.011039972,38032756.779316425,
1.2. Savanna Formation,82058186.781593412,80097922.55271475,79249739.632215291,78208949.989311218,77045380.945213184,75900194.028179258,74792350.788873851,73564825.624146372,72395046.844933674,70813274.606641218,69590952.736747488,68735320.178644493,68119059.425635502,67425062.599053919,66781099.392503172,65978636.488929138,65083682.234300241,64251017.87627773,63234317.505410336,62139927.940502152,61367977.466086827,60801628.193417624,60301009.981019832,59744756.165742129,59279653.448578142,58585242.150410168,58098431.630125709,57203168.380475566,56304770.945693888,55536766.230462164,54869580.824594758,54319162.433356188,53849328.888719745,53366968.690739654,52843158.051167771,52168529.484133601,51650608.116087064,50791351.399277896,49870425.918023936,49533945.85521315,48095621.531238012,
1.3. Flooded Savanna,0.76406307983398447,1.2670236450195311,3.125976940917969,1.5185890502929684,4.0358523315429684,1.4314436828613277,1.1769816040039061,3.8681013122558592,2.1259099548339853,1.6034886413574225,1.1079168518066407,0.8516454345703125,1.3448181030273441,2.6947261169433596,0.51377979125976558,0.59036231689453134,0.59189485473632819,1.2640756103515625,0.4258779235839843,0.25242396850585941,0.084007672119140619,0.51217427368164059,0,1.9358127990722656,1.3491343383789065,0.76791655273437498,1.109951318359375,0.083999273681640632,2.0218173034667961,0.58887356567382809,0,0.33610619506835943,0,0.42980156250000001,0.084044329833984383,0,0,0.085941522216796878,1.4334738708496091,0.1681225280761719,1.1805290405273436,
1.4. Mangrove,62053.307915832127,62070.872961693552,61927.710686998646,62264.480097478248,62311.630784960245,62641.141483495529,62660.591825811018,62141.629890234624,62060.702302020429,62922.647058801645,63348.18113362333,64135.85382633,64377.031930516961,64762.459806091974,64887.845048053539,65522.46819752876,65584.079996448374,65625.064847473957,65872.162419836721,65949.948640375122,65940.819474182674,66077.319926508528,66297.969030311026,66386.714547382697,66406.167573713479,66280.264678443535,66507.215124549868,66867.382806043679,67397.025220888521,67466.242160360096,67401.426943019513,67404.197749684448,67407.487107417575,67459.47062113852,67654.334693617653,67889.483825825562,68252.31828952831,68233.485679695252,68815.697243928793,68599.670698841815,69099.865075642243,
1.5. Floodable Forest,401.90299916992194,402.74339221191417,403.19455899047864,397.01733581542987,396.4765455078126,394.09751537475597,386.6715734191896,381.98207865600591,376.78554331665049,368.12575040893557,357.69788621215827,348.23748798217781,343.29083554077152,337.83649368286126,331.04045249633793,330.91818392944333,326.07254432373043,327.92771473999028,334.02774393920896,334.91972000732426,337.25476502075207,337.43316317138675,333.15725975952154,327.97412976074224,324.41411926879891,321.00306860351577,323.01248716430672,321.50899211425792,320.59677199707039,315.57353047485367,317.0166885375977,321.92363777465835,322.55772531738279,323.93589340209968,322.08167449951168,324.31845579223642,317.59250123901381,306.51663339843753,295.01505885620122,296.10980565185554,299.17735515747074,
1.6. Wooded Sandbank Vegetation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Herbaceous and Shrubby Vegetation,_(* 18254519_),_(* 17555767_),_(* 17013264_),_(* 16870334_),_(* 16691718_),_(* 16510777_),_(* 16338509_),_(* 16195936_),_(* 16079693_),_(* 15984359_),_(* 15883405_),_(* 15756041_),_(* 15658989_),_(* 15592772_),_(* 15553032_),_(* 15682633_),_(* 15704480_),_(* 15685975_),_(* 15650349_),_(* 15588592_),_(* 15549487_),_(* 15497426_),_(* 15405805_),_(* 15327924_),_(* 15261435_),_(* 15159984_),_(* 15111379_),_(* 15027720_),_(* 14973341_),_(* 14939259_),_(* 14887940_),_(* 14806523_),_(* 14735396_),_(* 14662299_),_(* 14536364_),_(* 14405859_),_(* 14203430_),_(* 13999606_),_(* 13742349_),_(* 13530854_),_(* 13245478_),
2.1. Wetland,7856619.1762606148,7563566.4172885399,7403199.6558339577,7340115.8998884242,7252693.829782567,7202239.0314196227,7165026.3584537636,7129833.0621256558,7106144.939355067,7105106.273140871,7078430.8522003163,7032008.3553207684,6972017.3320952328,6924670.7025845824,6891686.4955174923,6988113.0782558816,7003023.0564681413,7002666.3717289641,6995968.4418800324,6985449.2080341456,6981146.9308303017,6965555.2327070534,6919234.0532123577,6892226.546093069,6875840.9974387372,6831968.5288553126,6830126.2302810363,6801394.8819296854,6785362.5422982983,6773695.3138588378,6750948.2305188961,6707772.9948992496,6690045.6999746459,6674666.5211390993,6646595.7282626666,6650394.9537328957,6622897.4218651401,6619702.7358340267,6569224.6647306681,6526233.8303186353,6435936.8513222579,
2.2. Marisma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
