dice_coef,iou,loss,precision,recall,val_dice_coef,val_iou,val_loss,val_precision,val_recall,learning_rate,epoch
0.3781700134277344,0.32636168599128723,0.5455435514450073,0.3227967321872711,0.9488148093223572,0.1420726776123047,0.09402494877576828,1.0212208032608032,0.9728694558143616,0.09505705535411835,9.999999747378752e-05,1
0.48194339871406555,0.4262634217739105,0.446599543094635,0.44504210352897644,0.8999062180519104,0.6153773665428162,0.5947280526161194,0.7119168043136597,0.650629997253418,0.8739114999771118,9.999999747378752e-05,2
0.5884114503860474,0.6102722883224487,0.35588377714157104,0.6307193040847778,0.9462883472442627,0.03015933744609356,0.0016918551409617066,1.1931456327438354,0.8920917510986328,0.0018300965894013643,9.999999747378752e-05,3
0.6008545756340027,0.579393208026886,0.3452092707157135,0.6110779047012329,0.9141743183135986,0.6887228488922119,0.6275437474250793,0.32869136333465576,0.7074512839317322,0.8529844880104065,9.999999747378752e-05,4
0.7520812749862671,0.7336169481277466,0.23018957674503326,0.776216983795166,0.9285822510719299,0.5831683874130249,0.5726882815361023,0.49646711349487305,0.965363621711731,0.5955740213394165,9.999999747378752e-05,5
0.7243874073028564,0.7668164968490601,0.24791917204856873,0.8007040619850159,0.9465046525001526,0.7036299109458923,0.744823157787323,0.4287969768047333,0.9582549929618835,0.772216260433197,9.999999747378752e-05,6
0.7662582993507385,0.7672907710075378,0.22646519541740417,0.816077709197998,0.9268164038658142,0.7135390639305115,0.6475427150726318,0.2864164710044861,0.6844256520271301,0.9261685013771057,9.999999747378752e-05,7
0.8279118537902832,0.8447503447532654,0.17667612433433533,0.8875798583030701,0.9456701874732971,0.04925986006855965,0.025202114135026932,1.2151681184768677,0.9317009449005127,0.025890354067087173,9.999999747378752e-05,8
0.7953962087631226,0.7933520078659058,0.19741331040859222,0.8344594240188599,0.9400070905685425,0.7736353278160095,0.7093449831008911,0.25085359811782837,0.746979296207428,0.932555079460144,9.999999747378752e-05,9
0.856834888458252,0.8442159295082092,0.15825064480304718,0.8935911059379578,0.9382796287536621,0.45855996012687683,0.3987056314945221,0.6942598819732666,0.9690302014350891,0.40687456727027893,9.999999747378752e-05,10
0.8297009468078613,0.8561906814575195,0.17105582356452942,0.8968014121055603,0.9489485621452332,0.8021327257156372,0.7946485877037048,0.22402134537696838,0.8388422131538391,0.9363527894020081,9.999999747378752e-05,11
0.8374113440513611,0.8243727684020996,0.17011627554893494,0.8743008971214294,0.9343258142471313,0.6550067663192749,0.553286612033844,0.3164219856262207,0.5675827264785767,0.9524646401405334,9.999999747378752e-05,12
0.8773378133773804,0.8630256056785583,0.14225220680236816,0.9023487567901611,0.9516133069992065,0.31868088245391846,0.2603195011615753,0.9026919603347778,0.9449533224105835,0.26703864336013794,9.999999747378752e-05,13
0.8516324758529663,0.8457585573196411,0.15724264085292816,0.884617805480957,0.9498132467269897,0.7585633993148804,0.700403094291687,0.2352081835269928,0.7096296548843384,0.9734171628952026,9.999999747378752e-05,14
0.8799006938934326,0.8580613732337952,0.14047501981258392,0.9040939807891846,0.9433628916740417,0.5671014785766602,0.5151997804641724,0.5807012915611267,0.9623332023620605,0.5289484262466431,9.999999747378752e-05,15
0.8785591721534729,0.878045916557312,0.1389557123184204,0.9157370924949646,0.9545542001724243,0.6502661108970642,0.6501898765563965,0.49094268679618835,0.9513396620750427,0.6765164732933044,9.999999747378752e-05,16
0.864128828048706,0.8398914337158203,0.14738093316555023,0.8830353021621704,0.9443327784538269,0.6916452050209045,0.6787152886390686,0.3989603817462921,0.9606414437294006,0.7036452889442444,9.999999747378752e-05,17
0.9007288217544556,0.882627010345459,0.12514302134513855,0.9258783459663391,0.9493632316589355,0.7948207259178162,0.811506986618042,0.227051243185997,0.8676169514656067,0.9205135107040405,9.999999747378752e-05,18
0.893189013004303,0.8877739310264587,0.12499301880598068,0.9201291799545288,0.9611120223999023,0.8724833130836487,0.8147820234298706,0.16206485033035278,0.8570476174354553,0.9428303241729736,9.999999747378752e-05,19
